month,outlet_id,name,trading_area,company,class_of_market,lat,lng,ms,hsd,ms_ly,hsd_ly,,,,
2026-06,125235,P HAMZA HAJI & SONS,B.P ANGADI,IOC,C,10.902279,75.923327,112,112,96,110,,,,
2026-06,132413,P.K.FUELS,VAILATHUR,IOC,D2,10.95326,75.949828,73,61,42,42,,,,
2026-06,175973,P.P.PETROLEUM,KAKKANCHERY,IOC,D1,11.1512227,75.8942511,94,162,100,104,,,,
2026-06,269683,PALLIKKAL FUELS,PALLIKKAL BAZAR,IOC,E,11.150142,75.90978,28,32,24,24,,,,
2026-06,198669,PAYINGAL PETROLEUM,VALANCHERY-PERINTHALMANNA ROAD TIR RSA,IOC,D2,10.893371,76.074432,44,100,48,84,,,,
2026-06,194760,PERUVALLUR PETROLEUM,PARAMBIL PEEDIKA,IOC,E,11.113143,75.947999,70,78,75,65,,,,
2026-06,272261,POOLAKUNDAN PETROLEUM,PARAPPUR-TIR RSA,IOC,E,11.027646,75.995407,56,48,60,48,,,,
2026-06,188258,PRABHA FUEL STATION,AYIKKARAPPADI,IOC,D1,11.178269,75.894277,60,96,52,56,,,,
2026-06,348927,PUTHANATHANI PETROLEUM,PUTHANATHANI,IOC,D1,10.940877,75.999996,44,52,36,48,,,,
2026-06,187714,SALEEMA PETROLEUM,TIRUR(ON SH71),IOC,D2,10.93195,75.933382,76,104,52,92,,,,
2026-06,125132,SIGMA ENTERPRISES,Valanchery,IOC,D1,10.897987,76.061268,108,120,86,90,,,,
2026-06,125209,SREE PETROLEUM AGENCIES,KUTTIPURAM (ON NH),IOC,D1,10.863983,76.038315,40,84,61,79,,,,
2026-06,386783,STAR ENERGY SOLUTIONS,Valanchery on NH,IOC,D1,10.8758285,76.0672767,0,0,0,0,,,,
2026-06,355549,THAJ FUELS,RANDATHANI,IOC,D1,10.958543,76.007593,65,64,59,83,,,,
2026-06,373070,TIRUR PETROLEUM,TIRUR,IOC,C,10.92329381,75.91317855,100,72,96,60,,,,
2026-06,252629,UCHAKKAVIL FUELS,CHEMMAD,IOC,E,11.0480791,75.9094099,76,80,81,69,,,,
2026-06,352137,V K PETROLEUM,CHETTIPADI TO CHELARI,IOC,E,11.093467,75.881241,88,84,88,72,,,,
2026-06,193180,VARADA FUELS,VETTICHIRA,IOC,D1,10.925452,76.030547,40,92,44,76,,,,
2026-06,337735,VEE PEE PETROLEUM,POOKATTIRI,IOC,D2,10.9026,76.090888,90,110,75,85,,,,
2026-06,367798,ZEAL FUELS,CHEMBRA,IOC,C,10.932758,75.9227693,68,28,0,0,,,,
2026-06,346531,ZEAL PETROLEUM,AILATHUR,IOC,E,10.8320507,75.9482885,91,71,82,54,,,,
2026-06,392078,CHELEMBRA FUELS,CHELEMBRA,IOC,D1,11.162795,75.88176,0,0,0,0,,,,
2026-06,393382,KTJ PETROLEUM ADHOC,KALPAKANCHERI,IOC,E,10.96218,75.97592,30,26,64,56,,,,
2026-06,52021446,JPS PETROLEUM,THANALUR,MRPL,E,10.9522027,75.916499,96,108,94,90,,,,
2026-06,52021106,MOONAKKAL PETROLEUM,POOKATTIRI,MRPL,D2,10.9025921,76.0895739,104,110,85,78,,,,
2026-06,52020226,KAPPADAN FUELS,MUTHUVALLUR,MRPL,E,11.1865141,75.9677788,100,100,110,90,,,,
2026-06,52021226,SMILE FUELS,KURUMBATHUR,MRPL,E,10.929334,75.99825,90,90,80,90,,,,
2026-06,52017906,ENOC PETROL STATION,KUNNUMPURAM,MRPL,D2,11.1089095,75.9566362,98,120,80,94,,,,
2026-06,52025746,Adnoc Fuels,CHETTIPADI TO CHELARI,MRPL,E,11.0815488,75.8609615,70,100,28,32,,,,
2026-06,52015446,NASEER PETROLEUM,AYIKKARAPPADI,MRPL,D1,11.179561,75.8893188,104.5,120.5,160,150,,,,
2026-06,25816909337,MALABAR PETROLEUM,VENGARA,NEL,D2,11.0490485,75.9557441,24,16,80,98,,,,
2026-06,51814369,Thadathil Petroleum,VATTATHANI,NEL,E,,,25,16,70,74,,,,
2026-06,25816910010,PMH PETROLEUM,VALIYAPARAMBU,NEL,E,,,24,16,80,98,,,,
2026-06,51818206,KRS PETRO PARK,VAILATHUR,NEL,D2,10.9745202,75.966958,20,16,45,68,,,,
2026-06,51810126,NVP PETROLEUM AGENCY,THEYYALA,NEL,E,10.999391,75.921136,20,18,65,78,,,,
2026-06,51816866,Pioneer Venture,RANDATHANI,NEL,D1,,,24,20,60,68,,,,
2026-06,40617,REGAL AMPM,PULIKKAL,NEL,D1,11.1676241,75.9301839,20,24,75,102,,,,
2026-06,35408,City Petroleum,PONNANI (ON NH66),NEL,D1,,,32,16,75,82,,,,
2026-06,16481,THIRUVONAM ENTERPRISES,PARAPPANANGADI,NEL,C,11.0704677,75.8537779,40,16,65,62,,,,
2026-06,37561,PULIKKAL FUELS,MORAYUR,NEL,D1,,,32,24,110,142,,,,
2026-06,41049,Mullakkalam Fuels,MATHAMKULAM,NEL,E,11.1313592,75.9440151,20,24,65,68,,,,
2026-06,51820546,RUNWAY PETROLEUM,CHIRAMANGALAM,NEL,C,11.0092005,75.8720943,24,12,60,72,,,,
2026-06,41970,KUNNATHERI PETROLEUM,CHELARI,NEL,D1,11.1028425,75.8930923,24,24,60,62,,,,
2026-06,35407,Emirates Petroleum,Changaramkulam,NEL,D2,,,0,0,0,0,,,,
2026-06,51810366,MAGMA FUELS,AYIKKARAPPADI,NEL,D1,11.1806553,75.885785,26,25,65,92,,,,
2026-06,51815506,Naft Petroleum ,AILATHUR,NEL,E,10.838447,75.946537,22,20,70,88,,,,
2026-06,35405,GS International,Valanchery,RIL,D1,10.8923441,76.0656241,98,94,130,180,,,,
2026-06,16463,Neeliyat Petroleum,TIRUR(ON SH71),RIL,D2,10.9265725,75.9310443,100,112,150,190,,,,
2026-06,51917907,RAM FUELS,PARAPPANANGADI,RIL,C,11.0604608,75.8548487,90,111,202,170,,,,
2026-06,16477,BROTHERS PETROLEUM,KOTTAKKAL (ON NH),RIL,D1,10.997152,75.987773,105,114,150,180,,,,
2026-06,35406,C.K.Gopinathan Fuels,Edappal (on SH),RIL,D2,10.7903466,76.008724,0,0,0,0,,,,
2026-06,366391,P HAMZA HAJI & SONS ADHOC,KALPAKANCHERI,IOC,E,10.96218,75.97592,0,0,64,56,,,,
2026-05,258634,ALOHA PETROLEUM,KONDOTTY,BPC,C,11.1590386,75.9473434,63,55,0,0,,,,
2026-05,172015,ANUS FUEL AGENCY,KADAMPUZHA,BPC,E,10.93927,76.03884,104,118,97,119,,,,
2026-05,189806,AYISHA PETROLEUM,PONNANI(ON SH62),BPC,D2,10.780234,75.9488313,116,112,105,65,,,,
2026-05,162956,BP-THALAPPARA,THALAPPARA,BPC,D1,11.0741104,75.9036425,175,129,185,168,,,,
2026-05,162537,CHAITHRAM FUELS,KUTTIPURAM (ON NH),BPC,D1,10.8576887,76.0365593,20,40,24,36,,,,
2026-05,230305,CITY PETROLEUM,VAILATHUR,BPC,D2,10.9703104,75.9658111,117,129,82,82,,,,
2026-05,182026,FIDHA PETROLEUM,B.P ANGADI,BPC,C,10.9037746,75.9219113,116,64,112,92,,,,
2026-05,258702,GREENWAY FUELS,KURUMBATHUR,BPC,E,,,0,0,0,0,,,,
2026-05,184424,HAJI MUHAMMED ALI SONS,AILATHUR,BPC,E,10.8715946,75.9338532,116,76,128,88,,,,
2026-05,262369,IB AUTO FUELS,Edappal (on SH),BPC,D2,,,0,0,0,0,,,,
2026-05,147927,ITHIKKAL PETROLEUM,KOTTAKKAL (ON SH),BPC,D2,10.9999633,75.9965663,243,285,205,255,,,,
2026-05,262908,KAPADAN FUELS,KONDOTTY,BPC,D2,11.1590926,75.9473427,0,0,0,0,,,,
2026-05,258666,KAPPADAN FUELS,EDAVANNAPPARA,BPC,E,11.220756,75.970234,92,100,0,0,,,,
2026-05,116140,KEYTEES PETROLEUM,Valanchery,BPC,D1,10.8867754,76.0728141,108,96,84,84,,,,
2026-05,254121,KOHINOOR PETROLEUM,CHELARI,BPC,D1,11.119522,75.8931872,75,99,0,0,,,,
2026-05,116136,M.KUTTY HASSAN KUTTY & CO.,Edappal (on SH),BPC,D2,10.7834019,76.0078356,28,56,72,84,,,,
2026-05,146267,MALIYAKKAL FILLING STATION,VENGARA,BPC,D2,11.0512894,75.9845704,188,266,168,296,,,,
2026-05,146265,MALIYAKKAL FUELS,CHEMMAD,BPC,E,11.0466849,75.9110172,88,92,104,100,,,,
2026-05,146264,MIYAN PETROLEUM,THIRUNAVAYA,BPC,E,10.86345,75.97881,64,56,64,56,,,,
2026-05,215812,MOOKKAMPARAMBATH AUTO FUELS,VALLIKUNNU,BPC,E,11.12183,75.84632,84,48,108,72,,,,
2026-05,219106,MOROOTTIL FUELS,MORAYUR,BPC,D1,11.13336,76.01423,119,233,122,212,,,,
2026-05,149639,P M PETROLEUM,TANUR,BPC,C,10.96751,75.88492,72,64,64,56,,,,
2026-05,180272,P.N.M.FUELS,Eramangalam,BPC,D2,10.70267,75.98235,117,65,52,44,,,,
2026-05,143244,PARAPPANAD PETROLEUM,PARAPPANANGADI,BPC,C,11.0424998,75.8614383,60,84,48,60,,,,
